frame_id,timestamp_sec,class,x1,y1,x2,y2,confidence
1,0.0,car,1638,775,1758,871,0.8524
1,0.0,car,1600,696,1710,770,0.7411
1,0.0,person,1620,937,1685,1077,0.6261
1,0.0,car,1603,561,1648,608,0.5527
1,0.0,person,1019,930,1094,1053,0.531
1,0.0,person,1287,693,1325,772,0.4395
1,0.0,motorcycle,1297,890,1358,984,0.4308
1,0.0,motorcycle,1025,1000,1115,1070,0.4221
1,0.0,motorcycle,1621,936,1686,1080,0.4133
1,0.0,person,1806,660,1838,721,0.4021
2,0.033,car,1606,693,1712,769,0.8367
2,0.033,car,1640,772,1759,866,0.8358
2,0.033,car,1884,507,1919,547,0.5009
2,0.033,motorcycle,1294,694,1332,770,0.4805
2,0.033,person,1625,929,1689,1047,0.4736
2,0.033,motorcycle,1037,985,1123,1060,0.4542
2,0.033,motorcycle,1631,1001,1694,1070,0.4331
2,0.033,person,1033,926,1084,1044,0.4297
2,0.033,motorcycle,1629,947,1693,1068,0.4283
2,0.033,person,1300,850,1360,970,0.4073
3,0.067,car,1611,690,1717,765,0.8733
3,0.067,car,1642,771,1761,862,0.8167
3,0.067,car,1884,514,1919,547,0.5659
3,0.067,person,1631,916,1694,1035,0.5151
3,0.067,motorcycle,1636,959,1694,1058,0.481
3,0.067,motorcycle,1311,854,1374,968,0.4489
3,0.067,motorcycle,1047,970,1129,1050,0.4013
4,0.1,car,1615,689,1721,761,0.7815
4,0.1,car,1643,765,1760,858,0.7338
4,0.1,car,1884,515,1919,548,0.5949
4,0.1,motorcycle,1638,933,1699,1048,0.4521
4,0.1,motorcycle,1058,968,1142,1042,0.4365
4,0.1,motorcycle,1642,981,1698,1049,0.4126
5,0.133,car,1620,687,1723,758,0.7902
5,0.133,car,1647,755,1764,853,0.5711
5,0.133,car,1885,512,1919,546,0.5102
5,0.133,person,1737,640,1773,709,0.44
5,0.133,motorcycle,1310,704,1350,759,0.4384
5,0.133,motorcycle,1643,970,1703,1036,0.4295
5,0.133,motorcycle,1328,876,1385,957,0.4099
5,0.133,motorcycle,1641,944,1704,1035,0.4072
6,0.167,car,1621,686,1726,756,0.7665
6,0.167,car,1648,754,1767,849,0.5829
6,0.167,motorcycle,1074,900,1155,1022,0.4779
6,0.167,car,1884,513,1919,544,0.4486
6,0.167,motorcycle,1330,832,1393,948,0.4447
6,0.167,motorcycle,1315,692,1356,757,0.4406
6,0.167,motorcycle,1333,874,1393,950,0.4173
6,0.167,motorcycle,1647,909,1707,1026,0.4079
6,0.167,person,1317,685,1352,755,0.4077
7,0.2,car,1651,751,1764,843,0.7464
7,0.2,car,1624,683,1726,752,0.6935
7,0.2,car,1883,517,1919,545,0.497
7,0.2,motorcycle,1338,838,1397,943,0.4363
7,0.2,person,1336,825,1390,941,0.4001
8,0.233,car,1654,747,1765,839,0.748
8,0.233,car,1630,680,1728,749,0.7301
8,0.233,motorcycle,1346,846,1403,938,0.5184
8,0.233,car,1883,515,1919,544,0.501
8,0.233,person,1095,882,1162,994,0.4287
9,0.267,car,1657,746,1765,835,0.6475
9,0.267,car,1634,677,1731,746,0.6419
9,0.267,car,1614,560,1657,600,0.4524
9,0.267,motorcycle,1657,881,1716,991,0.4507
9,0.267,motorcycle,1351,839,1410,932,0.4497
9,0.267,motorcycle,1110,931,1180,999,0.414
10,0.3,car,1660,740,1768,830,0.747
10,0.3,car,1637,675,1732,745,0.6959
10,0.3,motorcycle,1663,887,1719,986,0.5595
10,0.3,motorcycle,1112,895,1191,992,0.4643
10,0.3,motorcycle,1357,854,1414,927,0.4492
11,0.333,car,1662,738,1765,825,0.7487
11,0.333,car,1639,673,1736,742,0.6628
11,0.333,motorcycle,1667,887,1722,979,0.5904
11,0.333,car,1882,511,1919,541,0.5072
11,0.333,motorcycle,1120,873,1193,983,0.4827
11,0.333,person,1666,858,1722,964,0.4483
11,0.333,person,1362,808,1414,909,0.444
11,0.333,person,1338,670,1374,739,0.4405
11,0.333,motorcycle,1363,822,1417,918,0.4036
12,0.367,car,1664,732,1770,819,0.746
12,0.367,car,1643,673,1737,739,0.6286
12,0.367,car,1882,506,1919,539,0.6118
12,0.367,motorcycle,1131,861,1202,977,0.4921
12,0.367,person,1367,803,1422,904,0.4556
12,0.367,person,1669,851,1727,947,0.428
12,0.367,motorcycle,1670,860,1727,970,0.4256
12,0.367,motorcycle,1671,903,1727,972,0.42
13,0.4,car,1664,726,1774,815,0.7312
13,0.4,car,1645,668,1739,735,0.6243
13,0.4,car,1882,509,1919,539,0.5545
13,0.4,person,1672,843,1729,948,0.4691
13,0.4,motorcycle,1375,822,1428,906,0.468
13,0.4,motorcycle,1139,865,1208,967,0.458
14,0.433,car,1665,728,1773,812,0.8306
14,0.433,car,1647,667,1743,734,0.5428
14,0.433,motorcycle,1381,801,1432,898,0.4022
15,0.467,car,1666,725,1773,808,0.6671
15,0.467,motorcycle,1679,837,1734,945,0.5918
15,0.467,motorcycle,1154,846,1223,955,0.4873
15,0.467,motorcycle,1385,795,1438,896,0.4862
15,0.467,car,1652,665,1745,729,0.4504
15,0.467,motorcycle,1387,825,1438,898,0.4431
16,0.5,car,1671,727,1771,802,0.5135
16,0.5,car,1879,503,1919,537,0.4738
16,0.5,motorcycle,1683,833,1735,937,0.4675
16,0.5,car,1653,664,1746,726,0.452
16,0.5,motorcycle,1393,805,1442,890,0.4293
17,0.533,motorcycle,1684,825,1740,930,0.6054
17,0.533,car,1671,724,1769,798,0.5989
17,0.533,car,1656,663,1748,726,0.5053
17,0.533,motorcycle,1171,836,1239,940,0.4717
17,0.533,car,1878,505,1919,538,0.4603
17,0.533,motorcycle,1399,805,1446,886,0.4417
18,0.567,motorcycle,1685,818,1742,924,0.5881
18,0.567,car,1659,661,1749,724,0.5566
18,0.567,motorcycle,1177,845,1245,936,0.5292
18,0.567,car,1623,550,1662,590,0.4723
18,0.567,car,1877,502,1918,536,0.4285
18,0.567,person,1803,627,1833,684,0.4115
19,0.6,car,1674,712,1770,791,0.5945
19,0.6,motorcycle,1692,813,1741,916,0.5468
19,0.6,car,1623,546,1663,589,0.523
19,0.6,motorcycle,1692,852,1740,916,0.459
19,0.6,car,1876,500,1918,535,0.4397
19,0.6,motorcycle,1186,851,1253,930,0.434
19,0.6,motorcycle,1405,790,1456,874,0.4254
20,0.633,motorcycle,1692,804,1743,909,0.6208
20,0.633,car,1667,653,1751,719,0.4861
20,0.633,motorcycle,1190,838,1258,924,0.4347
20,0.633,motorcycle,1411,775,1462,870,0.4291
20,0.633,car,1875,507,1917,534,0.42
21,0.667,motorcycle,1693,799,1744,900,0.6834
21,0.667,motorcycle,1201,832,1266,916,0.482
21,0.667,car,1674,702,1775,785,0.4206
22,0.7,motorcycle,1693,798,1747,896,0.6645
22,0.7,motorcycle,1207,828,1271,913,0.5161
22,0.7,person,1389,643,1418,707,0.4885
22,0.7,car,1875,499,1917,532,0.4459
22,0.7,motorcycle,1676,699,1776,781,0.4136
23,0.733,motorcycle,1698,798,1748,889,0.5817
23,0.733,car,1875,503,1915,532,0.4882
23,0.733,motorcycle,1216,850,1276,907,0.4716
24,0.767,car,1872,505,1910,533,0.5273
24,0.767,motorcycle,1699,794,1748,885,0.4943
24,0.767,motorcycle,1219,800,1278,894,0.4926
24,0.767,motorcycle,1429,758,1480,848,0.4181
25,0.8,motorcycle,1430,750,1481,844,0.5116
25,0.8,motorcycle,1227,792,1287,892,0.4832
25,0.8,motorcycle,1702,785,1752,874,0.4689
25,0.8,motorcycle,1433,774,1482,845,0.4491
25,0.8,car,1870,496,1910,532,0.4051
26,0.833,motorcycle,1705,782,1753,869,0.6111
26,0.833,motorcycle,1230,801,1292,887,0.5162
26,0.833,motorcycle,1437,761,1488,840,0.4562
27,0.867,motorcycle,1237,788,1299,881,0.5839
27,0.867,motorcycle,1704,774,1754,862,0.5588
27,0.867,motorcycle,1446,766,1492,836,0.5035
28,0.9,motorcycle,1708,778,1754,859,0.5366
28,0.9,motorcycle,1244,794,1302,875,0.4585
28,0.9,motorcycle,1444,748,1495,831,0.4493
29,0.933,motorcycle,1251,776,1308,873,0.5749
29,0.933,motorcycle,1452,739,1498,826,0.542
29,0.933,motorcycle,1708,770,1755,852,0.5332
30,0.967,motorcycle,1258,782,1314,865,0.613
30,0.967,motorcycle,1456,737,1505,821,0.4788
30,0.967,motorcycle,1711,769,1758,849,0.4484
30,0.967,motorcycle,1456,761,1504,821,0.4417
31,1.0,motorcycle,1263,796,1320,863,0.5581
31,1.0,motorcycle,1714,759,1758,842,0.5056
31,1.0,motorcycle,1262,767,1319,861,0.5035
31,1.0,motorcycle,1462,744,1510,818,0.4159
32,1.033,motorcycle,1265,765,1324,858,0.4713
32,1.033,motorcycle,1469,752,1511,814,0.4464
33,1.067,motorcycle,1716,754,1759,834,0.5729
33,1.067,motorcycle,1273,762,1328,849,0.5243
33,1.067,motorcycle,1470,727,1514,807,0.4776
33,1.067,motorcycle,1472,751,1514,809,0.4706
34,1.1,motorcycle,1279,756,1332,844,0.6747
34,1.1,motorcycle,1717,748,1760,828,0.6394
34,1.1,motorcycle,1471,719,1517,804,0.4989
35,1.133,motorcycle,1284,753,1337,841,0.6101
35,1.133,motorcycle,1477,717,1521,799,0.5773
35,1.133,motorcycle,1717,747,1762,823,0.4435
35,1.133,motorcycle,1479,745,1520,801,0.4255
36,1.167,motorcycle,1480,713,1524,794,0.6163
36,1.167,motorcycle,1718,739,1760,818,0.5258
36,1.167,motorcycle,1288,752,1343,837,0.4787
37,1.2,motorcycle,1484,711,1526,789,0.595
37,1.2,motorcycle,1294,747,1348,832,0.4792
37,1.2,car,1863,495,1900,526,0.4525
37,1.2,motorcycle,1719,737,1761,813,0.4497
38,1.233,motorcycle,1489,708,1531,788,0.6205
38,1.233,car,1862,495,1900,525,0.5549
38,1.233,motorcycle,1300,760,1351,828,0.5423
38,1.233,motorcycle,1719,734,1762,810,0.5223
38,1.233,car,1694,663,1776,732,0.4236
39,1.267,motorcycle,1493,710,1534,786,0.5631
39,1.267,motorcycle,1305,743,1352,821,0.5177
39,1.267,car,1862,494,1900,525,0.5089
39,1.267,motorcycle,1721,734,1763,806,0.4088
40,1.3,motorcycle,1308,740,1361,820,0.5876
40,1.3,motorcycle,1495,707,1538,782,0.5734
40,1.3,car,1862,491,1899,524,0.4328
41,1.333,motorcycle,1311,734,1364,816,0.6267
41,1.333,motorcycle,1499,710,1540,778,0.522
41,1.333,car,1696,656,1780,722,0.4832
42,1.367,motorcycle,1501,697,1544,771,0.6006
42,1.367,motorcycle,1318,731,1368,810,0.5753
42,1.367,car,1695,662,1775,720,0.5327
43,1.4,motorcycle,1505,692,1547,769,0.5906
43,1.4,motorcycle,1323,728,1374,807,0.5847
43,1.4,car,1696,659,1775,716,0.4781
43,1.4,car,1861,490,1896,521,0.4643
44,1.433,motorcycle,1329,727,1376,803,0.6662
44,1.433,motorcycle,1727,720,1765,785,0.4997
44,1.433,motorcycle,1511,691,1551,768,0.4056
45,1.467,motorcycle,1332,718,1381,801,0.5622
45,1.467,motorcycle,1726,716,1765,779,0.4427
46,1.5,motorcycle,1334,715,1386,797,0.6209
46,1.5,motorcycle,1726,712,1765,776,0.5405
47,1.533,motorcycle,1338,716,1387,792,0.6528
47,1.533,motorcycle,1730,711,1764,774,0.4191
48,1.567,motorcycle,1346,714,1391,788,0.5676
48,1.567,car,1702,647,1781,705,0.4318
48,1.567,motorcycle,1524,681,1561,752,0.4297
49,1.6,motorcycle,1349,709,1396,783,0.7088
49,1.6,motorcycle,1527,676,1564,746,0.5411
50,1.633,motorcycle,1353,704,1397,781,0.7215
50,1.633,motorcycle,1528,673,1567,744,0.5922
51,1.667,motorcycle,1357,701,1401,778,0.6703
51,1.667,motorcycle,1533,671,1569,742,0.5906
52,1.7,motorcycle,1360,697,1406,773,0.659
52,1.7,motorcycle,1535,675,1571,740,0.563
52,1.7,car,1705,649,1777,696,0.4867
52,1.7,car,1724,601,1793,651,0.4345
52,1.7,person,885,1021,937,1080,0.4292
53,1.733,motorcycle,1364,697,1412,770,0.6669
53,1.733,motorcycle,1538,669,1575,736,0.5528
53,1.733,motorcycle,84,1005,223,1080,0.4409
53,1.733,person,909,1007,987,1080,0.4209
54,1.767,motorcycle,1370,698,1414,767,0.6185
54,1.767,motorcycle,1541,664,1579,733,0.5225
54,1.767,person,932,993,1009,1080,0.4576
54,1.767,car,1708,646,1776,690,0.4503
55,1.8,motorcycle,1372,691,1416,763,0.687
55,1.8,motorcycle,1544,660,1584,731,0.5634
55,1.8,person,952,978,1029,1080,0.4693
55,1.8,car,1729,600,1797,646,0.4395
56,1.833,motorcycle,1377,688,1419,758,0.7041
56,1.833,motorcycle,1546,659,1585,729,0.578
56,1.833,person,969,965,1051,1080,0.497
57,1.867,motorcycle,1382,684,1422,757,0.675
57,1.867,motorcycle,1549,654,1587,724,0.5088
57,1.867,person,993,955,1060,1051,0.4559
58,1.9,motorcycle,1385,684,1425,754,0.6514
