frame_id,timestamp_sec,track_id,class,x1,y1,x2,y2,center_x,center_y,confidence,displacement_px,direction,speed_mps,status,alerts
1,0.0,1,car,1638,775,1758,871,1698,823,0.8524,0.0,Stationary,0.0,Stationary,Normal
1,0.0,2,car,1600,696,1710,770,1655,733,0.7411,0.0,Stationary,0.0,Stationary,Normal
1,0.0,3,person,1620,937,1685,1077,1652,1007,0.6261,0.0,Stationary,0.0,Stationary,Normal
1,0.0,4,car,1603,561,1648,608,1625,584,0.5527,0.0,Stationary,0.0,Stationary,Normal
1,0.0,5,person,1019,930,1094,1053,1056,991,0.531,0.0,Stationary,0.0,Stationary,Normal
1,0.0,6,person,1287,693,1325,772,1306,732,0.4395,0.0,Stationary,0.0,Stationary,Normal
1,0.0,7,motorcycle,1297,890,1358,984,1327,937,0.4308,0.0,Stationary,0.0,Stationary,Normal
1,0.0,8,motorcycle,1025,1000,1115,1070,1070,1035,0.4221,0.0,Stationary,0.0,Stationary,Normal
1,0.0,9,motorcycle,1621,936,1686,1080,1653,1008,0.4133,0.0,Stationary,0.0,Stationary,Normal
1,0.0,10,person,1806,660,1838,721,1822,690,0.4021,0.0,Stationary,0.0,Stationary,Normal
2,0.033,1,car,1639,772,1759,867,1699,819,0.8358,4.12,Up,1.55,Moving,Normal
2,0.033,2,car,1603,693,1715,769,1659,731,0.8367,4.47,Right,1.68,Moving,Normal
2,0.033,3,motorcycle,1631,946,1689,1069,1660,1007,0.4283,8.0,Right,3.0,Moving,Normal
2,0.033,5,person,1022,927,1094,1046,1058,986,0.4297,5.39,Up,2.02,Moving,Normal
2,0.033,6,motorcycle,1294,694,1330,770,1312,732,0.4805,6.0,Right,2.25,Moving,Normal
2,0.033,7,person,1292,856,1367,972,1329,914,0.4073,23.09,Up,8.66,Moving,Normal
2,0.033,8,motorcycle,1031,987,1126,1061,1078,1024,0.4542,13.6,Up,5.1,Moving,Normal
2,0.033,9,person,1629,930,1685,1051,1657,990,0.4736,18.44,Up,6.92,Moving,Normal
3,0.067,1,car,1643,771,1759,863,1701,817,0.8167,2.83,Stationary,1.06,Stationary,Normal
3,0.067,2,car,1608,691,1719,766,1663,728,0.8733,5.0,Right,1.88,Moving,Normal
3,0.067,3,motorcycle,1641,957,1689,1060,1665,1008,0.481,5.1,Right,1.91,Moving,Normal
3,0.067,7,motorcycle,1301,852,1377,968,1339,910,0.4489,10.77,Right,4.04,Moving,Normal
3,0.067,8,motorcycle,1036,973,1136,1052,1086,1012,0.4013,14.42,Up,5.41,Moving,Normal
3,0.067,9,person,1635,918,1689,1037,1662,977,0.5151,13.93,Up,5.22,Moving,Normal
3,0.067,11,car,1886,512,1916,547,1901,529,0.5659,0.0,Stationary,0.0,Stationary,Normal
4,0.1,1,car,1643,766,1760,859,1701,812,0.7338,5.0,Up,1.88,Moving,Normal
4,0.1,2,car,1614,689,1721,762,1667,725,0.7815,5.0,Right,1.88,Moving,Normal
4,0.1,3,motorcycle,1652,978,1687,1050,1669,1014,0.4126,7.21,Down,2.7,Moving,Normal
4,0.1,8,motorcycle,1049,967,1146,1043,1097,1005,0.4365,13.04,Right,4.89,Moving,Normal
4,0.1,9,motorcycle,1641,929,1694,1044,1667,986,0.4521,10.3,Down,3.86,Moving,DIRECTION_REVERSAL
4,0.1,11,car,1887,514,1916,548,1901,531,0.5949,2.0,Stationary,0.75,Stationary,Normal
5,0.133,1,car,1644,757,1766,853,1705,805,0.5711,8.06,Up,3.02,Moving,Normal
5,0.133,2,car,1618,687,1724,759,1671,723,0.7902,4.47,Right,1.68,Moving,Normal
5,0.133,9,motorcycle,1650,941,1695,1036,1672,988,0.4072,5.39,Right,2.02,Moving,Normal
